desanimo	5603470	neg
desaprobar	454769	neg
desaprobatorio	861187	neg
desaprovechado	1391705	neg
desaprovechamiento	606110	neg
desarreglado	2307103	neg
desaseado	2306294	neg
desaseo	3777439	neg
desatino	4891683	neg
desatrancado	1564476	pos
desazonado	1433114	neg
desbaratador	1700267	pos
desbocado	2392227	neg
descabellado	1765308	pos
descamisado	7518469	neg
descargado	827549	neg
descartar	685419	neg
descastado	2406675	neg
descollar	2673965	pos
descoloracion	3696915	neg
desconcertante	2245649	neg
desconcierto	5581284	neg
desconectado	1591662	neg
desconocimiento	4390042	neg
desconsideracion	4915365	neg
desconsuelo	5601776	neg
descontento	557349	neg
descontrolado	568895	neg
descorazonador	826026	neg
descortesia	3847963	neg
descubierto	2072380	neg
descubrible	704168	pos
desdenable	1532320	pos
desdenoso	1923058	neg
deseabilidad	4005625	pos
deseado	698520	pos
desecado	2430454	pos
desempatado	849392	neg
desempleo	10063667	neg
desencantado	824498	pos
desencantar	1240044	pos
desencorvar	874502	pos
desenfadado	575998	pos
desenfocado	745764	neg
desenfrenado	568895	neg
desenganado	824633	pos
desensibilizar	1447471	neg
desenvoltura	4025078	neg
desequilibrado	1405188	pos
desespero	5606636	neg
desfavorecimiento	4021460	neg
desfigurar	2576921	neg
desgrenado	2307103	neg
deshabitado	1565206	neg
desheredado	1403155	neg
desheredar	2316097	neg
deshidratado	2430454	pos
deshonestidad	3818909	neg
deshonesto	1172115	neg
deshonrar	1736849	neg
deshonroso	1912691	neg
designar	657821	pos
desilusionar	1240044	pos
desinclinado	2442989	neg
desindustrializado	1249057	neg
desinfeccion	454901	neg
desinteres	3788604	pos
desinteresado	105050	pos
desleal	912314	neg
deslucimiento	3776772	pos
desmandado	661549	neg
desmayo	5559901	neg
desmelenado	2307103	neg
desmesura	3988853	neg
desmoralizador	826026	neg
desnaturalidad	3756599	neg
desnivel	3733407	neg
desnutricion	10113523	neg
desnutrido	2190424	neg
desobediente	2219624	neg
desocupacion	10063667	neg
desordenado	2277918	neg
desparpajo	3665539	neg
despavilado	1282082	pos
despecho	5613388	neg
despectivo	1923058	neg
despeinado	2307103	neg
desperdiciado	1391705	neg
desperdiciar	2268351	neg
despierto	1282082	pos
despilfarro	4894964	neg
despistado	1907738	neg
desposeido	1000422	neg
despota	10735298	neg
